name,bal
Hoodies,9
oniconnect,20
NETWORK TRAVEL AND TOURS LTD,1015
Frank&FredTech,20
GOBEBA,20
qualfast sarah,-2
Maths online,20
Ecoethics and development ltd,20
Safari Tips,107872
Kenyan Alliance Insurance Company,20
MUKIRI GLOBAL ADVOCATES LLP,18
Maraways tours and travel,20
Stratus,20
WOTE LIMITED,20
JADE COLLECTIONS LTD,4425
Southc Altar,99
Roodito Limited,4020
Tony LTD,20
abc comp,20
Meru County Development & Investment Company,8
Seagull Cosmetics Ltd,8015
wawe Comp,20
Globe Finity,19
Cross Gate solution,20
Adept Technologies Limited,46
SI-UK Kenya,20
Cullmedia ,-26
Eco-Ethics and development ltd,20
Crossgate Solutions,20
Laikiana ,20
GLOBE FINITY,489
Asyana,20
Proficient Credit Ltd,3214
CHURCH OF GOD SEVENTH DAY,223
Scratch Kitchen Ltd,20
Testing Crossgate,20
AFRICA LEOPRINTS LTD,17
NPSC Kenya,17
CHACHANOMIC,20
"Njeru, Nyaga & Co. Advocates",20
Fh & Company,20
NGS Telecommunication and Equipment Joint Stock Company,2
NACHO EVENTS,3
Hon. Sammy,20
Rahalink Ventures,2
Eco-ethics and development ltd,20
FAIDISHA PAMOJA HOUSING COOPERATIVE SOCIETY,20
Skywad Limited,8011
GRIND GROUP LTD,18
Planit Kenya,20
TRINITY CHAPEL RUIRU,20
magicalconcepts,2
MGA,2382
CHACHA NOMICS,32
Edge City Beauty Products,20
SPARKPLUG,2
MELAS,120
Kenyan Alliance Insurance ,20
Dafabet,0
SLEEK_CHICK,547
Upay,0
Kenyan Alliance Kaihealth,999
Overseas,0
Bidii_solutions,15
mkmkmk,20
Zhen_technologies,0
Mobiworks,0
Pamoja Plots,0
Rocham_Shop,0
Centergy,0
SPICE VAS KENYA,0
Co-operative University of Kenya,12
New Milimani,0
Amos sales,16
ASYANA GARDENS,20
EduCare,100020
MALIMEX INVESTMENT LIMITED,1967
Vincent Morales Sevilla,20
Laikiana Hospitality Solutions,20
Spotfix,19
KOKO Technologies Limited,20
Kome Tech,36
Zaidi Technologies,1861
Xina Stables Ltd,20
cross Gate,1
Estherz,18
Kadja_Commercial,1995
jorgi holdings,20
4G,20
pkopkop,20
Drecot Interiors,20
Eso Insurance Agency,4976
kipkopkop,41
oe firm,20
Counter1Serve,20
MAHUTINI,0
Mwalimu_Sacco,0
Ourcircles Ltd,20
Artificial_insemination,0
JovinNailSPA,0
Mcheza_Tanzania,0
Africa TM,20
KopaCent,0
TheCardGuys,0
KIBUTHADNB,0
PINNSOFT,11
Waweru,0
WOOLWORTHS,0
PrittWorld,122
E&m TECHNOLOGY HOUSE LTD,2009
JAMLAN,0
UJUMBE,5000
UJUMBE_MULEI,0
tsc,2
CENT_AFRICA,0
SPF,0
Njiwa Housing,0
SAFARILOTTO,0
ShaphanKirui,2
Rafiki Microfinance Bank,1365
PEAKINT,3
Zyara School of hospitality,20
fhc,2331
wambua_ujumbe,0
IconicTours,0
Metropol_2,0
REALSACCO,0
OnePulse,0
Stemscence,6
kenyanalliance company,20
MANCHEL,0
TEchArt,-2
Ujumbe_Paddy,0
SOKOUSA,0
minornsge,20
dan,7
Hamstrong Real Estate,-416
SnashyConnect,20
UASU,0
does,20
Algorithm Consulting,20
Ujumbe_Vincent,0
Lawiva Bakery Ltd ,340
Test EMT,52
lenexa healthcare,20
Mecshay,10
DAN_UJUMBE,25
Liberty_Events,5000
Garbage Dot Com,19
Fabtech Solutions Ltd,20
